
			Кондиционер Pioneer KFR20MW/KOR20MW (серия Artis)		,['мощность охлаждения, кВт:', '2.25'],['мощность обогрева, кВт:', '2.35'],['потребляемая мощность (охл./обогр.), кВт:', '0,7/0,65'],['инверторная регулировка:', 'нет'],['уровень шума (внутр. блок), дБ(А):', '23-40'],['уровень шума (внешн. блок), дБ(А):', '49'],['габариты внутр./внешн. блока, мм:', '744х256х185 / 720'],['параметры электропитания, В/Ф/ГЦ:', '220/1/50'],['макс. длина трассы, м:', '20'],['размер труб (газ/жидкость), мм/дюйм:', '9,53/6,35'],['хладагент:', 'R410A'],['диапазон рабочих температур (охл.), °С:', '+18 ~ +43'],['диапазон рабочих температур (обогр.), °С:', '-7 ~ +24'],

			Кондиционер AERO ALRS-07IH3A-02/ALRS-07OH3A-02		,['мощность охлаждения, кВт:', '2,26'],['мощность обогрева, кВт:', '2,38'],['потребляемая мощность (охл./обогр.), кВт:', '0,69/0,64'],['инверторная регулировка:', 'нет'],['уровень шума (внутр. блок), дБ(А):', '50'],['уровень шума (внешн. блок), дБ(А):', '24/33'],['производительность вентилятора (внутр./внешн. блок), м3/ч:', '450'],['объем водяного бака, л:', '470/530/600'],['габариты внутр./внешн. блока, мм:', '693x190x250 / 660х255х435'],['вес (внутр./наружн. блок), кг:', '7/21'],['параметры электропитания, В/Ф/ГЦ:', '220/1/50'],['макс. перепад высот, м:', '10'],['размер труб (газ/жидкость), мм/дюйм:', '8'],['хладагент:', 'R410'],

			Кондиционер EcoStar KVS-S07HT.1		,['мощность охлаждения, кВт:', '2,2'],['мощность обогрева, кВт:', '2,36'],['потребляемая мощность (охл./обогр.), кВт:', '0,685 / 0,65'],['инверторная регулировка:', 'нет'],['уровень шума (внутр. блок), дБ(А):', '26-35'],['уровень шума (внешн. блок), дБ(А):', '52'],['производительность вентилятора (внутр./внешн. блок), м3/ч:', '445'],['габариты внутр./внешн. блока, мм:', '715x285x194 / 681x434x285'],['вес (внутр./наружн. блок), кг:', '7,4 / 22,1'],['параметры электропитания, В/Ф/ГЦ:', '220/1/50'],['хладагент:', 'R410A'],

			Кондиционер MIDEA MSMBA-09HRN1(W) / MOAB01-09HN1		,['мощность охлаждения, кВт:', '2.64'],['мощность обогрева, кВт:', '2.78'],['потребляемая мощность (охл./обогр.), кВт:', '0,82/0,77'],['инверторная регулировка:', 'нет'],['уровень шума, дБ:', '35/31/29'],['габариты внутр./внешн. блока, мм:', '730x293x198 / 700x550x270'],['параметры электропитания, В/Ф/ГЦ:', '220/1/50'],['макс. длина трассы, м:', '20'],['размер труб (газ/жидкость), мм/дюйм:', '9,52 / 6,35'],['хладагент:', 'R410'],['диапазон рабочих температур (охл.), °С:', '+18...+43'],['диапазон рабочих температур (обогр.), °С:', '-7...+24'],

			Кондиционер Dantex RK-09SEG		,['мощность охлаждения, кВт:', '2,6'],['мощность обогрева, кВт:', '2,8'],['потребляемая мощность (охл./обогр.), кВт:', '0,822 / 0,781'],['инверторная регулировка:', 'нет'],['уровень шума (внутр. блок), дБ(А):', '37/35/32'],['уровень шума (внешн. блок), дБ(А):', '49'],['осушение, л/ч:', '1'],['производительность вентилятора (внутр./внешн. блок), м3/ч:', '400'],['габариты внутр./внешн. блока, мм:', '730x265x174 / 720x428x310'],['вес (внутр./наружн. блок), кг:', '8 / 26'],['параметры электропитания, В/Ф/ГЦ:', '220/50/1'],['рабочий ток охлаждение/обогрев, А:', '3,65 / 3,46'],['макс. длина трассы, м:', '15'],['макс. перепад высот, м:', '10'],['размер труб (газ/жидкость), мм/дюйм:', '3/8" / 1/4"'],['хладагент:', 'R410a'],['диапазон рабочих температур (охл.), °С:', '+18°С ~ +43°С'],['диапазон рабочих температур (обогр.), °С:', '-7°С ~ +24°С'],

			Кондиционер MIDEA MSMA1A-07HRN1 / MOAB02-07HN1/-40		,['мощность охлаждения, кВт:', '2.05'],['мощность обогрева, кВт:', '2.05'],['потребляемая мощность (охл./обогр.), кВт:', '0,68/0,64'],['инверторная регулировка:', 'нет'],['уровень шума, дБ:', '36/34/30'],['габариты внутр./внешн. блока, мм:', '715x285x194 / 700x550x270'],['параметры электропитания, В/Ф/ГЦ:', '220/1/50'],['макс. длина трассы, м:', '20'],['размер труб (газ/жидкость), мм/дюйм:', '9,52 / 6,35'],['хладагент:', 'R410'],['диапазон рабочих температур (охл.), °С:', '-40...+43'],['диапазон рабочих температур (обогр.), °С:', '-7...+24'],

			Кондиционер ROYAL CLIMA RC-TWN22HN		,['мощность охлаждения, кВт:', '2,25'],['мощность обогрева, кВт:', '2,45'],['инверторная регулировка:', 'нет'],['уровень шума (внутр. блок), дБ(А):', '25,5/31,5/35'],['уровень шума (внешн. блок), дБ(А):', '54'],['производительность вентилятора (внутр./внешн. блок), м3/ч:', '302/373/445'],['габариты внутр./внешн. блока, мм:', '715x285x194 / 681x434x285'],['вес (внутр./наружн. блок), кг:', '7,4/22,1'],['параметры электропитания, В/Ф/ГЦ:', '220/1/50'],['рабочий ток охлаждение/обогрев, А:', '3,50 / 3,10'],['макс. длина трассы, м:', '20'],['макс. перепад высот, м:', '8'],['размер труб (газ/жидкость), мм/дюйм:', '9,53 (3/8") / 6,35 (1/4")'],['хладагент:', 'R410A'],['диапазон рабочих температур (охл.), °С:', '+18 ~ +43'],['диапазон рабочих температур (обогр.), °С:', '-7 ~ +24'],['марка компрессора:', 'GMCC'],

			Кондиционер Roland FU-07HSS010/N3		,['мощность охлаждения, кВт:', '2,20'],['мощность обогрева, кВт:', '2,36'],['потребляемая мощность (охл./обогр.), кВт:', '0,685/0,65'],['инверторная регулировка:', 'нет'],['уровень шума (внутр. блок), дБ(А):', '23-32'],['уровень шума (внешн. блок), дБ(А):', '52'],['производительность вентилятора (внутр./внешн. блок), м3/ч:', '445'],['габариты внутр./внешн. блока, мм:', '715x285x194 / 681x434x285'],['вес (внутр./наружн. блок), кг:', '7,4/22,1'],['параметры электропитания, В/Ф/ГЦ:', '220/1/50'],['рабочий ток охлаждение/обогрев, А:', '2,98/2,82'],['хладагент:', 'R410A'],['диапазон рабочих температур (охл.), °С:', '+18 … +43'],['диапазон рабочих температур (обогр.), °С:', '-7 … +24'],

			Кондиционер OASIS OС-7 COMFORT		,['мощность охлаждения, кВт:', '2,05'],['мощность обогрева, кВт:', '2,2'],['инверторная регулировка:', 'нет'],['уровень шума (внутр. блок), дБ(А):', '27'],['уровень шума (внешн. блок), дБ(А):', '49'],['габариты внутр./внешн. блока, мм:', '720x201x270/635x458x240'],['вес (внутр./наружн. блок), кг:', '7/20'],['гарантия:', '3 года'],

			Кондиционер Zerten ZH-7		,['мощность охлаждения, кВт:', '2,05'],['мощность обогрева, кВт:', '2,2'],['инверторная регулировка:', 'нет'],['уровень шума (внутр. блок), дБ(А):', '32'],['уровень шума (внешн. блок), дБ(А):', '38-50'],['габариты внутр./внешн. блока, мм:', '718x240x180/600x500x232'],['вес (внутр./наружн. блок), кг:', '7/21'],['гарантия:', '3 года'],

			Кондиционер Rovex RS-07MST1		,['мощность охлаждения, кВт:', '2,1'],['мощность обогрева, кВт:', '2,2'],['потребляемая мощность (охл./обогр.), кВт:', '0,64/0,609'],['инверторная регулировка:', 'нет'],['уровень шума (внутр. блок), дБ(А):', '25-35'],['уровень шума (внешн. блок), дБ(А):', '51,5'],['производительность вентилятора (внутр./внешн. блок), м3/ч:', '485'],['габариты внутр./внешн. блока, мм:', '715х285х194 / 681х434х285'],['вес (внутр./наружн. блок), кг:', '7,4 / 22,1'],['параметры электропитания, В/Ф/ГЦ:', '220/1/50'],['рабочий ток охлаждение/обогрев, А:', '2,8'],['размер труб (газ/жидкость), мм/дюйм:', '3/8" - 1/4"'],['хладагент:', 'R410A'],['марка компрессора:', 'GMCC'],
